FileCode,Name,Value,ValueDesc,ValueType
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,62,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,63,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,64,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,65,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,66,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,67,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,68,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,69,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,70,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,71,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,72,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,73,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,74,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,75,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,76,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,77,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,78,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,79,,ExpandedRange
