HHID,HV000,HV001,HV002,HV003,HV004,HV005,HA35
       96653,ET6,96,653,2,96,295178,
       96661,ET6,96,661,1,96,295178,0
       96710,ET6,96,710,4,96,295178,0
       96718,ET6,96,718,2,96,295178,0
       96722,ET6,96,722,1,96,295178,0
       96779,ET6,96,779,2,96,295178,0
       96858,ET6,96,858,2,96,295178,0
       96868,ET6,96,868,2,96,295178,0
       96874,ET6,96,874,7,96,295178,99
       97 16,ET6,97,16,1,97,1792519,0
       97 29,ET6,97,29,1,97,1792519,0
       97 67,ET6,97,67,1,97,1792519,
       97157,ET6,97,157,1,97,1792519,0
       97173,ET6,97,173,1,97,1792519,0
       97249,ET6,97,249,1,97,1792519,
       97258,ET6,97,258,1,97,1792519,0
       97266,ET6,97,266,3,97,1792519,
       97298,ET6,97,298,1,97,1792519,
       97390,ET6,97,390,2,97,1792519,0
       97478,ET6,97,478,2,97,1792519,0
       97516,ET6,97,516,3,97,1792519,0
       97609,ET6,97,609,1,97,1792519,0
       97618,ET6,97,618,2,97,1792519,0
       97631,ET6,97,631,2,97,1792519,0
       97639,ET6,97,639,2,97,1792519,0
       97670,ET6,97,670,1,97,1792519,
       97672,ET6,97,672,1,97,1792519,0
       97729,ET6,97,729,2,97,1792519,0
       97742,ET6,97,742,1,97,1792519,0
       97756,ET6,97,756,1,97,1792519,0
       97765,ET6,97,765,1,97,1792519,0
       97797,ET6,97,797,1,97,1792519,0
       97803,ET6,97,803,1,97,1792519,0
       97817,ET6,97,817,1,97,1792519,0
       97825,ET6,97,825,1,97,1792519,0
       97848,ET6,97,848,1,97,1792519,
       97887,ET6,97,887,1,97,1792519,0
       98 16,ET6,98,16,1,98,212008,0
       98 43,ET6,98,43,1,98,212008,0
       98 57,ET6,98,57,1,98,212008,0
       98 59,ET6,98,59,3,98,212008,0
       98 80,ET6,98,80,2,98,212008,0
       98119,ET6,98,119,1,98,212008,99
       98134,ET6,98,134,1,98,212008,0
       98135,ET6,98,135,1,98,212008,0
       98175,ET6,98,175,1,98,212008,0
       98204,ET6,98,204,1,98,212008,
       98300,ET6,98,300,1,98,212008,
       98307,ET6,98,307,2,98,212008,0
       98360,ET6,98,360,1,98,212008,99
       98418,ET6,98,418,1,98,212008,0
       98506,ET6,98,506,1,98,212008,0
       98530,ET6,98,530,1,98,212008,99
       98574,ET6,98,574,1,98,212008,0
       98595,ET6,98,595,1,98,212008,0
       98618,ET6,98,618,1,98,212008,0
       98650,ET6,98,650,2,98,212008,0
       98711,ET6,98,711,1,98,212008,0
       98712,ET6,98,712,1,98,212008,0
       98731,ET6,98,731,1,98,212008,0
       98745,ET6,98,745,2,98,212008,0
       98746,ET6,98,746,1,98,212008,0
       98789,ET6,98,789,2,98,212008,0
       98805,ET6,98,805,2,98,212008,0
       98832,ET6,98,832,1,98,212008,
       99 71,ET6,99,71,1,99,38896,0
       99166,ET6,99,166,1,99,38896,0
       99173,ET6,99,173,1,99,38896,0
       99193,ET6,99,193,1,99,38896,
       99318,ET6,99,318,1,99,38896,0
       99334,ET6,99,334,1,99,38896,
       99408,ET6,99,408,1,99,38896,99
       99416,ET6,99,416,1,99,38896,0
       99526,ET6,99,526,2,99,38896,0
       99549,ET6,99,549,1,99,38896,0
       99598,ET6,99,598,2,99,38896,0
       99609,ET6,99,609,1,99,38896,
       99614,ET6,99,614,2,99,38896,0
       99696,ET6,99,696,1,99,38896,
       99699,ET6,99,699,1,99,38896,0
       99877,ET6,99,877,2,99,38896,0
       99884,ET6,99,884,1,99,38896,
      100 21,ET6,100,21,1,100,132270,0
      100 28,ET6,100,28,1,100,132270,0
      100126,ET6,100,126,1,100,132270,0
      100132,ET6,100,132,3,100,132270,99
      100139,ET6,100,139,1,100,132270,0
      100143,ET6,100,143,1,100,132270,0
      100153,ET6,100,153,2,100,132270,0
      100178,ET6,100,178,2,100,132270,0
      100219,ET6,100,219,2,100,132270,0
      100329,ET6,100,329,1,100,132270,0
      100385,ET6,100,385,1,100,132270,0
      100386,ET6,100,386,2,100,132270,0
      100508,ET6,100,508,1,100,132270,
      100530,ET6,100,530,1,100,132270,99
      100560,ET6,100,560,1,100,132270,
      100565,ET6,100,565,1,100,132270,0
      100621,ET6,100,621,1,100,132270,0
      100624,ET6,100,624,1,100,132270,0
      100649,ET6,100,649,1,100,132270,0
      100655,ET6,100,655,1,100,132270,0
      100659,ET6,100,659,1,100,132270,0
      100676,ET6,100,676,1,100,132270,0
      100696,ET6,100,696,1,100,132270,
      100765,ET6,100,765,3,100,132270,0
      100767,ET6,100,767,1,100,132270,
      100819,ET6,100,819,1,100,132270,0
      100849,ET6,100,849,2,100,132270,0
      101 45,ET6,101,45,2,101,35788,
      101 75,ET6,101,75,1,101,35788,
      101 99,ET6,101,99,2,101,35788,
      101109,ET6,101,109,1,101,35788,
      101119,ET6,101,119,1,101,35788,
      101125,ET6,101,125,1,101,35788,0
      101141,ET6,101,141,1,101,35788,0
      101157,ET6,101,157,1,101,35788,0
      101166,ET6,101,166,2,101,35788,
      101221,ET6,101,221,2,101,35788,0
      101250,ET6,101,250,1,101,35788,
      101307,ET6,101,307,2,101,35788,0
      101402,ET6,101,402,1,101,35788,0
      101416,ET6,101,416,2,101,35788,0
      101433,ET6,101,433,2,101,35788,0
      101471,ET6,101,471,1,101,35788,0
      101504,ET6,101,504,2,101,35788,0
      101508,ET6,101,508,1,101,35788,
      101541,ET6,101,541,1,101,35788,0
      101631,ET6,101,631,2,101,35788,0
      101642,ET6,101,642,2,101,35788,0
      101644,ET6,101,644,2,101,35788,0
      101668,ET6,101,668,1,101,35788,0
      101715,ET6,101,715,1,101,35788,
      101754,ET6,101,754,1,101,35788,
      101759,ET6,101,759,1,101,35788,0
      101781,ET6,101,781,1,101,35788,
      101836,ET6,101,836,1,101,35788,
      101852,ET6,101,852,2,101,35788,
      101853,ET6,101,853,2,101,35788,
      103  5,ET6,103,5,2,103,451836,0
      103 13,ET6,103,13,1,103,451836,
      103 75,ET6,103,75,2,103,451836,0
      103126,ET6,103,126,1,103,451836,
      103160,ET6,103,160,1,103,451836,99
      103177,ET6,103,177,2,103,451836,
      103214,ET6,103,214,1,103,451836,0
      103248,ET6,103,248,2,103,451836,0
      103284,ET6,103,284,2,103,451836,0
      103355,ET6,103,355,2,103,451836,0
      103405,ET6,103,405,1,103,451836,0
      103461,ET6,103,461,3,103,451836,
      103472,ET6,103,472,1,103,451836,
      103473,ET6,103,473,1,103,451836,0
      103486,ET6,103,486,2,103,451836,0
      103594,ET6,103,594,1,103,451836,0
      103597,ET6,103,597,1,103,451836,99
      103616,ET6,103,616,1,103,451836,
      103620,ET6,103,620,1,103,451836,0
      103659,ET6,103,659,1,103,451836,
      103690,ET6,103,690,2,103,451836,0
      103702,ET6,103,702,1,103,451836,0
      103754,ET6,103,754,1,103,451836,0
      103771,ET6,103,771,2,103,451836,0
      103847,ET6,103,847,1,103,451836,0
      103866,ET6,103,866,1,103,451836,0
      103867,ET6,103,867,2,103,451836,0
      104 15,ET6,104,15,1,104,2926415,0
      104 18,ET6,104,18,2,104,2926415,0
      104 29,ET6,104,29,1,104,2926415,
      104 57,ET6,104,57,1,104,2926415,0
      104 82,ET6,104,82,2,104,2926415,
      104 99,ET6,104,99,1,104,2926415,0
      104243,ET6,104,243,1,104,2926415,
      104253,ET6,104,253,2,104,2926415,0
      104263,ET6,104,263,1,104,2926415,
      104265,ET6,104,265,2,104,2926415,0
      104285,ET6,104,285,1,104,2926415,
      104307,ET6,104,307,1,104,2926415,0
      104341,ET6,104,341,2,104,2926415,0
      104391,ET6,104,391,1,104,2926415,0
      104402,ET6,104,402,1,104,2926415,
      104407,ET6,104,407,2,104,2926415,0
      104435,ET6,104,435,4,104,2926415,0
      104458,ET6,104,458,1,104,2926415,0
      104459,ET6,104,459,1,104,2926415,
      104493,ET6,104,493,1,104,2926415,0
      104525,ET6,104,525,1,104,2926415,0
      104532,ET6,104,532,1,104,2926415,0
      104579,ET6,104,579,1,104,2926415,
      104584,ET6,104,584,1,104,2926415,0
      104651,ET6,104,651,2,104,2926415,0
      104664,ET6,104,664,2,104,2926415,0
      104705,ET6,104,705,1,104,2926415,0
      104719,ET6,104,719,1,104,2926415,0
      104745,ET6,104,745,3,104,2926415,0
      104793,ET6,104,793,1,104,2926415,
      105  6,ET6,105,6,1,105,1435732,
      105 28,ET6,105,28,1,105,1435732,0
      105 29,ET6,105,29,2,105,1435732,0
      105194,ET6,105,194,2,105,1435732,0
      105201,ET6,105,201,2,105,1435732,0
      105203,ET6,105,203,2,105,1435732,0
      105222,ET6,105,222,2,105,1435732,99
      105236,ET6,105,236,2,105,1435732,0
      105263,ET6,105,263,2,105,1435732,0
      105300,ET6,105,300,2,105,1435732,0
      105328,ET6,105,328,2,105,1435732,0
      105370,ET6,105,370,1,105,1435732,0
      105388,ET6,105,388,2,105,1435732,0
      105438,ET6,105,438,2,105,1435732,0
      105443,ET6,105,443,2,105,1435732,0
      105498,ET6,105,498,2,105,1435732,0
      105557,ET6,105,557,1,105,1435732,0
      105558,ET6,105,558,1,105,1435732,0
      105563,ET6,105,563,2,105,1435732,0
      105568,ET6,105,568,2,105,1435732,0
      105580,ET6,105,580,1,105,1435732,0
      105625,ET6,105,625,2,105,1435732,0
      105679,ET6,105,679,1,105,1435732,
      105708,ET6,105,708,2,105,1435732,0
      105731,ET6,105,731,1,105,1435732,0
      105735,ET6,105,735,1,105,1435732,
      105753,ET6,105,753,2,105,1435732,
      105779,ET6,105,779,2,105,1435732,0
      105856,ET6,105,856,1,105,1435732,0
      105888,ET6,105,888,1,105,1435732,0
      106 14,ET6,106,14,1,106,199609,0
      106 39,ET6,106,39,2,106,199609,0
      106 57,ET6,106,57,2,106,199609,0
      106135,ET6,106,135,1,106,199609,99
      106142,ET6,106,142,2,106,199609,0
      106150,ET6,106,150,2,106,199609,0
      106161,ET6,106,161,1,106,199609,0
      106177,ET6,106,177,2,106,199609,0
      106219,ET6,106,219,1,106,199609,0
      106228,ET6,106,228,2,106,199609,0
      106290,ET6,106,290,1,106,199609,0
      106306,ET6,106,306,2,106,199609,0
      106433,ET6,106,433,1,106,199609,0
      106437,ET6,106,437,1,106,199609,
      106515,ET6,106,515,2,106,199609,0
      106519,ET6,106,519,1,106,199609,0
      106566,ET6,106,566,2,106,199609,0
      106613,ET6,106,613,2,106,199609,0
      106647,ET6,106,647,2,106,199609,
      106675,ET6,106,675,2,106,199609,0
      106697,ET6,106,697,1,106,199609,0
      106799,ET6,106,799,2,106,199609,0
      106800,ET6,106,800,1,106,199609,0
      106868,ET6,106,868,1,106,199609,0
      106870,ET6,106,870,1,106,199609,0
      106885,ET6,106,885,2,106,199609,0
      107 24,ET6,107,24,1,107,85970,0
      107 56,ET6,107,56,1,107,85970,
      107 89,ET6,107,89,1,107,85970,0
      107131,ET6,107,131,2,107,85970,0
      107144,ET6,107,144,2,107,85970,0
      107154,ET6,107,154,2,107,85970,0
      107197,ET6,107,197,2,107,85970,0
      107225,ET6,107,225,2,107,85970,0
      107288,ET6,107,288,1,107,85970,
      107289,ET6,107,289,2,107,85970,
      107295,ET6,107,295,2,107,85970,0
      107358,ET6,107,358,2,107,85970,0
      107387,ET6,107,387,1,107,85970,
      107456,ET6,107,456,2,107,85970,0
      107481,ET6,107,481,2,107,85970,0
      107499,ET6,107,499,1,107,85970,0
      107515,ET6,107,515,2,107,85970,0
      107538,ET6,107,538,1,107,85970,
      107553,ET6,107,553,2,107,85970,0
      107583,ET6,107,583,1,107,85970,0
      107597,ET6,107,597,2,107,85970,0
      107603,ET6,107,603,1,107,85970,0
      107628,ET6,107,628,2,107,85970,0
      107639,ET6,107,639,2,107,85970,0
      107692,ET6,107,692,1,107,85970,0
      107711,ET6,107,711,2,107,85970,0
      107783,ET6,107,783,2,107,85970,0
      107809,ET6,107,809,1,107,85970,0
      107828,ET6,107,828,1,107,85970,0
      108 87,ET6,108,87,1,108,3204567,0
      108 99,ET6,108,99,1,108,3204567,0
      108120,ET6,108,120,1,108,3204567,0
      108127,ET6,108,127,2,108,3204567,0
      108205,ET6,108,205,1,108,3204567,
      108255,ET6,108,255,1,108,3204567,0
      108280,ET6,108,280,2,108,3204567,0
      108295,ET6,108,295,1,108,3204567,0
      108307,ET6,108,307,2,108,3204567,0
      108407,ET6,108,407,1,108,3204567,
      108452,ET6,108,452,1,108,3204567,0
      108495,ET6,108,495,2,108,3204567,0
      108534,ET6,108,534,1,108,3204567,0
      108559,ET6,108,559,1,108,3204567,0
      108570,ET6,108,570,1,108,3204567,
      108583,ET6,108,583,2,108,3204567,0
      108601,ET6,108,601,2,108,3204567,0
      108609,ET6,108,609,1,108,3204567,0
      108691,ET6,108,691,1,108,3204567,
      108725,ET6,108,725,1,108,3204567,
      108767,ET6,108,767,1,108,3204567,0
      108783,ET6,108,783,1,108,3204567,0
      108809,ET6,108,809,1,108,3204567,0
      108821,ET6,108,821,2,108,3204567,0
      108863,ET6,108,863,1,108,3204567,
      110  4,ET6,110,4,2,110,32773,
      110 30,ET6,110,30,2,110,32773,0
      110 51,ET6,110,51,1,110,32773,0
      110133,ET6,110,133,1,110,32773,0
      110168,ET6,110,168,1,110,32773,0
      110186,ET6,110,186,2,110,32773,0
      110188,ET6,110,188,1,110,32773,
      110235,ET6,110,235,2,110,32773,0
      110311,ET6,110,311,1,110,32773,
      110337,ET6,110,337,1,110,32773,0
      110356,ET6,110,356,2,110,32773,0
      110368,ET6,110,368,1,110,32773,0
      110376,ET6,110,376,1,110,32773,
      110406,ET6,110,406,1,110,32773,0
      110459,ET6,110,459,1,110,32773,0
      110478,ET6,110,478,2,110,32773,0
      110524,ET6,110,524,2,110,32773,0
      110535,ET6,110,535,1,110,32773,
      110669,ET6,110,669,1,110,32773,
      110682,ET6,110,682,1,110,32773,0
      110714,ET6,110,714,2,110,32773,0
      110718,ET6,110,718,1,110,32773,0
      110797,ET6,110,797,1,110,32773,
      110843,ET6,110,843,1,110,32773,
      110854,ET6,110,854,1,110,32773,99
      111 62,ET6,111,62,1,111,96673,0
      111 73,ET6,111,73,2,111,96673,0
      111 98,ET6,111,98,2,111,96673,0
      111145,ET6,111,145,1,111,96673,0
      111169,ET6,111,169,2,111,96673,0
      111195,ET6,111,195,1,111,96673,0
      111232,ET6,111,232,3,111,96673,0
      111243,ET6,111,243,1,111,96673,
      111262,ET6,111,262,1,111,96673,0
      111271,ET6,111,271,1,111,96673,
      111300,ET6,111,300,1,111,96673,
      111328,ET6,111,328,1,111,96673,0
      111406,ET6,111,406,1,111,96673,
      111428,ET6,111,428,2,111,96673,0
      111433,ET6,111,433,2,111,96673,0
      111446,ET6,111,446,1,111,96673,
      111455,ET6,111,455,1,111,96673,0
      111675,ET6,111,675,2,111,96673,0
      111682,ET6,111,682,1,111,96673,0
      111741,ET6,111,741,2,111,96673,0
      111745,ET6,111,745,2,111,96673,0
      111765,ET6,111,765,1,111,96673,99
      111777,ET6,111,777,1,111,96673,0
      111809,ET6,111,809,5,111,96673,0
      111821,ET6,111,821,1,111,96673,0
      111868,ET6,111,868,1,111,96673,0
      111870,ET6,111,870,1,111,96673,
      111873,ET6,111,873,1,111,96673,
      112326,ET6,112,326,1,112,178700,99
      112350,ET6,112,350,1,112,178700,0
      112352,ET6,112,352,2,112,178700,0
      112442,ET6,112,442,2,112,178700,2
      112569,ET6,112,569,1,112,178700,99
      112571,ET6,112,571,1,112,178700,99
      112697,ET6,112,697,1,112,178700,99
      112728,ET6,112,728,1,112,178700,99
      112882,ET6,112,882,1,112,178700,0
      113 97,ET6,113,97,1,113,2934919,0
      113116,ET6,113,116,3,113,2934919,
      113178,ET6,113,178,1,113,2934919,0
      113180,ET6,113,180,1,113,2934919,0
      113207,ET6,113,207,1,113,2934919,0
      113222,ET6,113,222,1,113,2934919,0
      113233,ET6,113,233,1,113,2934919,0
      113236,ET6,113,236,1,113,2934919,
      113272,ET6,113,272,1,113,2934919,0
      113370,ET6,113,370,1,113,2934919,0
      113410,ET6,113,410,1,113,2934919,0
      113461,ET6,113,461,2,113,2934919,0
      113472,ET6,113,472,1,113,2934919,0
      113510,ET6,113,510,1,113,2934919,0
      113516,ET6,113,516,1,113,2934919,0
      113517,ET6,113,517,1,113,2934919,0
      113526,ET6,113,526,1,113,2934919,0
      113549,ET6,113,549,2,113,2934919,0
      113599,ET6,113,599,2,113,2934919,0
      113613,ET6,113,613,2,113,2934919,0
      113621,ET6,113,621,1,113,2934919,
      113649,ET6,113,649,1,113,2934919,0
      113713,ET6,113,713,1,113,2934919,0
      113786,ET6,113,786,1,113,2934919,0
      113790,ET6,113,790,1,113,2934919,0
      113837,ET6,113,837,1,113,2934919,0
      113843,ET6,113,843,2,113,2934919,0
      113846,ET6,113,846,1,113,2934919,0
      113851,ET6,113,851,1,113,2934919,0
      113860,ET6,113,860,1,113,2934919,0
      114 43,ET6,114,43,1,114,48146,0
      114 46,ET6,114,46,2,114,48146,0
      114 65,ET6,114,65,3,114,48146,99
      114126,ET6,114,126,3,114,48146,0
      114179,ET6,114,179,1,114,48146,0
      114191,ET6,114,191,2,114,48146,0
      114196,ET6,114,196,1,114,48146,0
      114251,ET6,114,251,1,114,48146,0
      114257,ET6,114,257,1,114,48146,
      114260,ET6,114,260,2,114,48146,0
      114328,ET6,114,328,1,114,48146,0
      114332,ET6,114,332,1,114,48146,
      114379,ET6,114,379,1,114,48146,
      114399,ET6,114,399,1,114,48146,0
      114410,ET6,114,410,4,114,48146,0
      114432,ET6,114,432,1,114,48146,0
      114437,ET6,114,437,1,114,48146,0
      114444,ET6,114,444,2,114,48146,0
      114519,ET6,114,519,1,114,48146,0
      114642,ET6,114,642,1,114,48146,
      114684,ET6,114,684,1,114,48146,0
      114769,ET6,114,769,1,114,48146,0
      114804,ET6,114,804,1,114,48146,0
      114814,ET6,114,814,2,114,48146,0
      114831,ET6,114,831,1,114,48146,
      114861,ET6,114,861,1,114,48146,0
      115 15,ET6,115,15,1,115,1825562,0
      115 18,ET6,115,18,2,115,1825562,0
      115 40,ET6,115,40,2,115,1825562,0
      115 73,ET6,115,73,2,115,1825562,0
      115135,ET6,115,135,2,115,1825562,0
      115152,ET6,115,152,1,115,1825562,0
      115159,ET6,115,159,1,115,1825562,0
      115231,ET6,115,231,1,115,1825562,0
      115246,ET6,115,246,1,115,1825562,0
      115286,ET6,115,286,1,115,1825562,0
      115306,ET6,115,306,1,115,1825562,0
      115316,ET6,115,316,1,115,1825562,0
      115366,ET6,115,366,1,115,1825562,0
      115371,ET6,115,371,1,115,1825562,0
      115418,ET6,115,418,2,115,1825562,
      115508,ET6,115,508,2,115,1825562,0
      115521,ET6,115,521,2,115,1825562,0
      115534,ET6,115,534,1,115,1825562,99
      115658,ET6,115,658,10,115,1825562,0
      115695,ET6,115,695,2,115,1825562,0
      115705,ET6,115,705,2,115,1825562,0
      115707,ET6,115,707,2,115,1825562,0
      115714,ET6,115,714,2,115,1825562,0
      115748,ET6,115,748,1,115,1825562,99
      115781,ET6,115,781,1,115,1825562,0
      115808,ET6,115,808,1,115,1825562,0
      115811,ET6,115,811,2,115,1825562,
      115824,ET6,115,824,2,115,1825562,0
      115870,ET6,115,870,2,115,1825562,0
      116 44,ET6,116,44,2,116,78724,0
      116 62,ET6,116,62,2,116,78724,
      116 73,ET6,116,73,1,116,78724,0
      116108,ET6,116,108,1,116,78724,
      116149,ET6,116,149,1,116,78724,
      116243,ET6,116,243,1,116,78724,
      116245,ET6,116,245,1,116,78724,0
      116271,ET6,116,271,3,116,78724,0
      116306,ET6,116,306,2,116,78724,0
      116330,ET6,116,330,1,116,78724,0
      116364,ET6,116,364,1,116,78724,0
      116384,ET6,116,384,2,116,78724,0
      116396,ET6,116,396,1,116,78724,
      116437,ET6,116,437,2,116,78724,0
      116485,ET6,116,485,1,116,78724,0
      116540,ET6,116,540,1,116,78724,0
      116546,ET6,116,546,2,116,78724,0
      116588,ET6,116,588,2,116,78724,0
      116597,ET6,116,597,1,116,78724,
      116643,ET6,116,643,2,116,78724,0
      116659,ET6,116,659,2,116,78724,0
      116702,ET6,116,702,6,116,78724,0
      116750,ET6,116,750,1,116,78724,0
      116756,ET6,116,756,2,116,78724,0
      116773,ET6,116,773,2,116,78724,0
      117109,ET6,117,109,1,117,1770995,
      117221,ET6,117,221,1,117,1770995,0
      117251,ET6,117,251,1,117,1770995,
      117299,ET6,117,299,1,117,1770995,0
      117312,ET6,117,312,2,117,1770995,0
      117314,ET6,117,314,1,117,1770995,0
      117323,ET6,117,323,2,117,1770995,0
      117334,ET6,117,334,1,117,1770995,0
      117346,ET6,117,346,1,117,1770995,99
      117361,ET6,117,361,1,117,1770995,99
      117381,ET6,117,381,1,117,1770995,0
      117466,ET6,117,466,1,117,1770995,0
      117468,ET6,117,468,2,117,1770995,0
      117487,ET6,117,487,1,117,1770995,
      117532,ET6,117,532,2,117,1770995,0
      117577,ET6,117,577,1,117,1770995,0
      117589,ET6,117,589,2,117,1770995,0
      117632,ET6,117,632,1,117,1770995,0
      117650,ET6,117,650,1,117,1770995,0
      117653,ET6,117,653,1,117,1770995,0
      117654,ET6,117,654,1,117,1770995,0
      117655,ET6,117,655,2,117,1770995,0
      117816,ET6,117,816,2,117,1770995,0
      117820,ET6,117,820,1,117,1770995,0
      117849,ET6,117,849,2,117,1770995,
      117854,ET6,117,854,1,117,1770995,0
      117859,ET6,117,859,1,117,1770995,0
      117883,ET6,117,883,1,117,1770995,0
      118 65,ET6,118,65,1,118,178432,0
      118 85,ET6,118,85,1,118,178432,99
      118 99,ET6,118,99,2,118,178432,0
      118117,ET6,118,117,1,118,178432,0
      118124,ET6,118,124,2,118,178432,0
      118153,ET6,118,153,1,118,178432,0
      118172,ET6,118,172,1,118,178432,0
      118188,ET6,118,188,2,118,178432,0
      118193,ET6,118,193,2,118,178432,0
      118272,ET6,118,272,2,118,178432,0
      118298,ET6,118,298,1,118,178432,0
      118351,ET6,118,351,1,118,178432,0
      118354,ET6,118,354,1,118,178432,99
      118386,ET6,118,386,1,118,178432,
      118404,ET6,118,404,2,118,178432,0
      118517,ET6,118,517,2,118,178432,0
      118539,ET6,118,539,2,118,178432,0
      118608,ET6,118,608,2,118,178432,0
      118662,ET6,118,662,1,118,178432,0
      118670,ET6,118,670,1,118,178432,0
      118689,ET6,118,689,1,118,178432,0
      118734,ET6,118,734,1,118,178432,
      118744,ET6,118,744,2,118,178432,0
      118826,ET6,118,826,2,118,178432,0
      118864,ET6,118,864,1,118,178432,0
      118865,ET6,118,865,1,118,178432,0
      118871,ET6,118,871,2,118,178432,0
      119 38,ET6,119,38,1,119,1711001,
      119 59,ET6,119,59,1,119,1711001,
      119 67,ET6,119,67,1,119,1711001,
      119 74,ET6,119,74,1,119,1711001,
      119111,ET6,119,111,1,119,1711001,
      119115,ET6,119,115,2,119,1711001,0
      119191,ET6,119,191,2,119,1711001,0
      119198,ET6,119,198,1,119,1711001,0
      119243,ET6,119,243,1,119,1711001,0
      119269,ET6,119,269,2,119,1711001,0
      119283,ET6,119,283,1,119,1711001,0
      119302,ET6,119,302,2,119,1711001,0
      119389,ET6,119,389,1,119,1711001,0
      119417,ET6,119,417,2,119,1711001,0
      119469,ET6,119,469,1,119,1711001,0
      119482,ET6,119,482,1,119,1711001,0
      119509,ET6,119,509,1,119,1711001,
      119528,ET6,119,528,2,119,1711001,0
      119582,ET6,119,582,1,119,1711001,0
      119591,ET6,119,591,1,119,1711001,0
      119624,ET6,119,624,2,119,1711001,0
      119628,ET6,119,628,1,119,1711001,0
      119657,ET6,119,657,1,119,1711001,0
      119683,ET6,119,683,1,119,1711001,0
      119713,ET6,119,713,1,119,1711001,
      119734,ET6,119,734,1,119,1711001,0
      119820,ET6,119,820,1,119,1711001,0
      119846,ET6,119,846,1,119,1711001,0
      119858,ET6,119,858,1,119,1711001,0
      119878,ET6,119,878,1,119,1711001,0
      120 75,ET6,120,75,1,120,2977702,0
      120129,ET6,120,129,1,120,2977702,0
      120131,ET6,120,131,1,120,2977702,0
      120149,ET6,120,149,1,120,2977702,0
      120170,ET6,120,170,2,120,2977702,0
      120175,ET6,120,175,1,120,2977702,0
      120199,ET6,120,199,1,120,2977702,0
      120232,ET6,120,232,1,120,2977702,0
      120253,ET6,120,253,1,120,2977702,0
      120265,ET6,120,265,1,120,2977702,0
      120377,ET6,120,377,2,120,2977702,0
      120497,ET6,120,497,2,120,2977702,0
      120516,ET6,120,516,1,120,2977702,
      120555,ET6,120,555,1,120,2977702,0
      120566,ET6,120,566,2,120,2977702,0
      120587,ET6,120,587,2,120,2977702,0
      120591,ET6,120,591,2,120,2977702,0
      120602,ET6,120,602,1,120,2977702,
      120658,ET6,120,658,2,120,2977702,0
      120745,ET6,120,745,1,120,2977702,0
      120751,ET6,120,751,1,120,2977702,
      120777,ET6,120,777,1,120,2977702,0
      120783,ET6,120,783,2,120,2977702,0
      120784,ET6,120,784,1,120,2977702,0
      120797,ET6,120,797,1,120,2977702,0
      120814,ET6,120,814,1,120,2977702,99
      120815,ET6,120,815,1,120,2977702,
      121 54,ET6,121,54,1,121,1395807,0
      121 84,ET6,121,84,1,121,1395807,0
      121148,ET6,121,148,1,121,1395807,0
      121249,ET6,121,249,2,121,1395807,0
      121282,ET6,121,282,1,121,1395807,0
      121327,ET6,121,327,2,121,1395807,0
      121344,ET6,121,344,1,121,1395807,99
      121368,ET6,121,368,1,121,1395807,0
      121388,ET6,121,388,1,121,1395807,0
      121396,ET6,121,396,2,121,1395807,0
      121416,ET6,121,416,1,121,1395807,
      121501,ET6,121,501,2,121,1395807,
      121509,ET6,121,509,2,121,1395807,0
      121527,ET6,121,527,1,121,1395807,0
      121531,ET6,121,531,1,121,1395807,
      121535,ET6,121,535,1,121,1395807,0
      121564,ET6,121,564,2,121,1395807,0
      121569,ET6,121,569,1,121,1395807,0
      121601,ET6,121,601,1,121,1395807,0
      121643,ET6,121,643,2,121,1395807,0
      121682,ET6,121,682,1,121,1395807,0
      121729,ET6,121,729,1,121,1395807,0
      121750,ET6,121,750,1,121,1395807,0
      121755,ET6,121,755,1,121,1395807,0
      121772,ET6,121,772,1,121,1395807,0
      121843,ET6,121,843,1,121,1395807,0
      121859,ET6,121,859,1,121,1395807,0
      121865,ET6,121,865,1,121,1395807,
      121870,ET6,121,870,2,121,1395807,0
      122  1,ET6,122,1,1,122,2142821,
      122 18,ET6,122,18,1,122,2142821,99
      122 89,ET6,122,89,2,122,2142821,0
      122 99,ET6,122,99,1,122,2142821,
      122102,ET6,122,102,1,122,2142821,0
      122120,ET6,122,120,1,122,2142821,0
      122150,ET6,122,150,1,122,2142821,99
      122177,ET6,122,177,2,122,2142821,0
      122229,ET6,122,229,2,122,2142821,0
      122255,ET6,122,255,2,122,2142821,0
      122337,ET6,122,337,1,122,2142821,0
      122361,ET6,122,361,1,122,2142821,0
      122371,ET6,122,371,2,122,2142821,0
      122379,ET6,122,379,2,122,2142821,0
      122421,ET6,122,421,2,122,2142821,0
      122433,ET6,122,433,2,122,2142821,0
      122453,ET6,122,453,2,122,2142821,0
      122482,ET6,122,482,1,122,2142821,0
      122508,ET6,122,508,1,122,2142821,0
      122524,ET6,122,524,1,122,2142821,
      122538,ET6,122,538,1,122,2142821,0
      122562,ET6,122,562,2,122,2142821,0
      122579,ET6,122,579,1,122,2142821,0
      122607,ET6,122,607,10,122,2142821,0
      122650,ET6,122,650,2,122,2142821,0
      122667,ET6,122,667,2,122,2142821,99
      122688,ET6,122,688,1,122,2142821,0
      122689,ET6,122,689,2,122,2142821,0
      122716,ET6,122,716,2,122,2142821,0
      122863,ET6,122,863,1,122,2142821,0
      123 78,ET6,123,78,2,123,1880220,
      123 88,ET6,123,88,1,123,1880220,0
      123 93,ET6,123,93,1,123,1880220,0
